Dt. ins.,Note interne 1,Soggetto,Ragione sociale,Contatto,Operatore,Categoria
2025-09-25,"05/09
Cliente con cui non abbiano progetti dal 2020, richiamo lunedi, nek mentre ho inviato email con catalogo.

11/09
Telefonata con il cliente per richiesta dei campioni, è interessato a avrie colelzioni: VENUS, NEW CRISTAL, FLORENCE, KAPPA sia vetro che plastica. Inviata richiesta di preparazione campioni.

17/09
Ho chiamato ns contatto per sapere se le sono arrivati i campioni inviati e avere risocntto in merito. Ho mandato email dove siete entrambi in copia, se non sento nulla nel pomeriggio richiamo.

25/09
Ad oggi non ho ancora riscontro sui campioni inviati, ho sollecito una risposta, domani dovrebbe potermi dire qualcosa.",4169,DR. SPILLER GMBH,Dagmar Fenzl,Alessandra,Azione Commerciale
2025-09-25,"25/09
tentativo di contatto cliente che non acquista più da noi da diversi anni, mi accennava la centralinista che nel mentre sono cambiate diverse persone. Da ricontattare domani.",3257,ASAM GMBH & CO. BETRIEBS KG,,Alessandra,Azione Commerciale
2025-09-25,"25/09

Ultima offerta condivisa con il cliente nel 2021, ho provato a richiamarli, dall'ufficio commerciale mi hanno dato il riferimento dell'ufficio acquisti, da contattare domani. Mi hanno chiesto nel mentre catalogo e company presentation di nuovo.",3474,LA MER COSMETICS AG,NADIA AJAMI,Alessandra,Azione Commerciale
2025-09-25,"25/09
Cliente contattato, da diversi anni non lo sentivamo, siamo d'accordo richiamo domani per poter palrare con altro referente ufficio acquisti.",3769,BIOSUN GMBH,,Alessandra,Azione Commerciale
2025-09-25,"22/09

Parlato direttamente con Kloubert, sembra interessato ai ns prodotti, alle novità, mi sono resa disponibile ad incontrarlo di persona in caso di sua disponibilità. Mi ha chiesto email con catalogo e company presentation.

25/09
Sentito anche oggi in seguito alle foto inviate, è molto interessato alle collezioni:  
•	Kappa
•	Giada
•	Boston
•	Flore
  
250ML, mi deve far sapere i quantitativi e procedo con offerta.

Altra chiamata 25/09
mi ha richiamata per assicurrasi delle caratteristiche del materiale PE Soft touch e squeezable, da quotare.",2103,INSPIRA COSMETICS GMBH,VOLKER KLOUBERT ,Alessandra,Azione Commerciale
2025-09-25,conversazione su Whatsapp per la redazione di offerta.,15319,CAVOSOL,Mr. Mihail,Rachida,Contatto Cliente
2025-09-26,"05/09
Cliente con cui non abbiano progetti dal 2020, richiamo lunedi, nek mentre ho inviato email con catalogo.

11/09
Telefonata con il cliente per richiesta dei campioni, è interessato a avrie colelzioni: VENUS, NEW CRISTAL, FLORENCE, KAPPA sia vetro che plastica. Inviata richiesta di preparazione campioni.

17/09
Ho chiamato ns contatto per sapere se le sono arrivati i campioni inviati e avere risocntto in merito. Ho mandato email dove siete entrambi in copia, se non sento nulla nel pomeriggio richiamo.

25/09
Ad oggi non ho ancora riscontro sui campioni inviati, ho sollecito una risposta, domani dovrebbe potermi dire qualcosa.

26/09
Dagmar mi ha comunicato di chiudere per ora il progetto, perchè non in linea con i loor progetti attuali, però a detta sua ci potrebberoe sserci altri progetti per i quali ci contatteranno. ",4169,DR. SPILLER GMBH,Dagmar Fenzl,Alessandra,Azione Commerciale
2025-09-26,"22/09

Parlato direttamente con Kloubert, sembra interessato ai ns prodotti, alle novità, mi sono resa disponibile ad incontrarlo di persona in caso di sua disponibilità. Mi ha chiesto email con catalogo e company presentation.

25/09
Sentito anche oggi in seguito alle foto inviate, è molto interessato alle collezioni:  
•	Kappa
•	Giada
•	Boston
•	Flore
  
250ML, mi deve far sapere i quantitativi e procedo con offerta.

Altra chiamata 25/09
mi ha richiamata per assicurrasi delle caratteristiche del materiale PE Soft touch e squeezable, da quotare.

26/09
Mi ha comunicato quantitativi e colore che vorrebbe, con swerigrafia due colori, sempre da inserire nell'offerta.",2103,INSPIRA COSMETICS GMBH,VOLKER KLOUBERT ,Alessandra,Azione Commerciale
2025-09-26,"15/09
Cliente con cui non condividevamo più offete dal 2019, parlato con uff. acquisti, aggiornata anagrafica, mando email con catalogo.

16/09
Cliente ha risposto al mio contatto, ho provato a contattarli nuovamente ma oggi non sono reperibili. Ho chiesto incontro per ottobre.

19/09
Ennesimo tentativo di chiamata oggi, ho nuovamente lasciato messagio in segreteria per prendere appuntamento per andare da loro.

22/09
Riprovato anche oggi, però non riesco a mettermi in contattato con Opree. Ho lasciato nuovamente messaggio.

Seconda chiamata al cliente, richiamo mercoledi.

24/09
Ennesima chiamata, altro messaggio lasciato. Neanche l'altro collega dell'uff. acquisti è disponibile.

26/09
Ennesimo tentativo di chiamata, senza riscontro.",104,DR. BABOR GMBH & CO. KG,Bastian Käsmacher/Annika Opree,Alessandra,Azione Commerciale
2025-09-26,"25/09
Cliente contattato, da diversi anni non lo sentivamo, siamo d'accordo richiamo domani per poter palrare con altro referente ufficio acquisti.

26/09
Sono riuscita a parlare con ufficio acquisti, breve presentazione ns prodotti e azienda, hanno richiesto invio email con catalogo e company presentation.",3769,BIOSUN GMBH,,Alessandra,Azione Commerciale
2025-09-26,"26/09
Sentita clienete, breve introduxione ns prdotti e azienda, come di consueto hanno richiesto proprio da uff. acquisti invio catalogo + company presentation.",4306,METHODE BRIGITTE KETTNER GMBH,Brigitte Kettner,Alessandra,Azione Commerciale
2025-09-26,"25/09
tentativo di contatto cliente che non acquista più da noi da diversi anni, mi accennava la centralinista che nel mentre sono cambiate diverse persone. Da ricontattare domani.

26/09
Parlato con referente ufficio acquisti Dopf, introdotti i ns prodotti e azienda, con successivo invio mail con catalogo e company presentation.",3257,ASAM GMBH & CO. BETRIEBS KG,OLIVER DOPF,Alessandra,Azione Commerciale
2025-09-26,"25/09
Contattato cliente, mi hanno cheisto di richiamare domani per ufficio acquisti, oggi la persona di riferiemnto non era in ufficio.  

26/09
Sentita persona uffici commercilae, potenzialmente interessati ai prodotti VN, hanno richiesto smepre mail con catalogo + company presentation.",3233,KIRCHBERGER KOSMETIK GMBH,,Alessandra,Azione Commerciale
2025-09-26,"26/09
Cliente solo registrato in anagrafica, non sono state inviate offerte, oggi non disponibili le persone di riferimento, mi è stato chiesto di richiamare lunedì.  ",3802,VITA COSMETIC GMBH,,Alessandra,Azione Commerciale
2025-09-26,Chiamato ma c'è solo la segreteria telefonica. Inviata email di presentazione con catalogo.,8307,EBNSOL SP. ZO.O.,Mr. Michael,Rachida,Contatto Cliente
2025-09-26,Chiamato entrambi i cellulari ma nessuna risposta.Inviata email di presentazione con catalogo.,10746,COSMONDE AS,Aneta,Rachida,Contatto Cliente
2025-09-26,Chiamato il centralino che mi fa rimanere in attesa poi fa cadere la linea telefonica.Invio catalogo via email,8308,BANDI COSMETICS SP.ZO.O.,Mrs. Renata,Rachida,Contatto Cliente
2025-09-29,"22/09

Parlato direttamente con Kloubert, sembra interessato ai ns prodotti, alle novità, mi sono resa disponibile ad incontrarlo di persona in caso di sua disponibilità. Mi ha chiesto email con catalogo e company presentation.

25/09
Sentito anche oggi in seguito alle foto inviate, è molto interessato alle collezioni:  
•	Kappa
•	Giada
•	Boston
•	Flore
  
250ML, mi deve far sapere i quantitativi e procedo con offerta.

Altra chiamata 25/09
mi ha richiamata per assicurrasi delle caratteristiche del materiale PE Soft touch e squeezable, da quotare.

26/09
Mi ha comunicato quantitativi e colore che vorrebbe, con serigrafia due colori, sempre da inserire nell'offerta.

29/09
Chiamata di prima mattina, mi ha chiesto della campionatura e dell'offerta, gli ho spuegato che la direzione commericiale ci sarà da giovedì in poi.",00002103,INSPIRA COSMETICS GMBH,VOLKER KLOUBERT ,Alessandra,Azione Commerciale
2025-09-29,"29/09
Tentativo di chiamata in data odierna, nessuno reperibile oggi per contatto ufficio commerciale. Riprovo domani.",00004274,PRO NATURA INTERNATIONAL GMBH,,Alessandra,Azione Commerciale
2025-09-29,"29/09
Contattato il cliente e comunicato con ufficio acquisti, per ora mi hanno chiesrto di inviare il catalogo e company presentation.",F0001318,ROSA HEINZ GMBH,,Alessandra,Azione Commerciale
2025-09-29,"29/09
Tentativo di chiamata ai vari numeri disponibili, persona addetta ufficio acquisti non disponibile, riprovo domani. Nel caso domani mando mail.",00003841,JOB COSMETICS GMBH,,Alessandra,Azione Commerciale
2025-09-29,"29/09
Chiamata al cliente, introdotto brevemente ns società e prodotti, invio catalogo e company presentation come da richiesta.",00003287,HENKEL KGAA,KEVIN MIGNON,Alessandra,Azione Commerciale
2025-09-29,"29/09
Primo contatto telefonico, introducendo l'azienda e i prodotti, la persona di riferimento non era disponibile oggi, domani mattina richiamo.
",00004167,FUHLENDORF BEAUTY,,Alessandra,Azione Commerciale
2025-09-29,"29/09

Primo contatto telefonico, con breve introduzione azienda e descrizione generica dei prodotti. Richiamo domani per parlare con persona di riferimento dell'uff. acquisti.",00004417,LA FAME COSMETICS,,Alessandra,Azione Commerciale
2025-09-29,Parlato con la cliente informando che i campioni color match sono pronti per la spedizione ed attendiamo indirizzo+contatto per la consegna. Nel mentre la cliente ha chiesto aggiornamenti per gli ordini correnti e di cui avvisato anche Nadia.,14982,IVELI TRADE LTD,Mrs. Gergana,Rachida,Contatto Cliente
2025-09-29,Parlato con la cliente che mi ha fornito l'indirizzo di email a cui mandare il catalogo con la presentazione.,8309,BOWIL BIOTECH SP. ZO.O.,Mrs Anna,Rachida,Contatto Cliente
2025-09-30,"30/09
Telefonata con il cliente, già avuto contatti in passato, gli ho riparlato della VN, per ora mi hanno choesto catalogo e presentazione azienda. Richiamo prox settimana.",4167,FUHLENDORF BEAUTY,,Alessandra,Azione Commerciale
2025-09-30,"15/09
Cliente con cui non condividevamo più offete dal 2019, parlato con uff. acquisti, aggiornata anagrafica, mando email con catalogo.

16/09
Cliente ha risposto al mio contatto, ho provato a contattarli nuovamente ma oggi non sono reperibili. Ho chiesto incontro per ottobre.

19/09
Ennesimo tentativo di chiamata oggi, ho nuovamente lasciato messagio in segreteria per prendere appuntamento per andare da loro.

22/09
Riprovato anche oggi, però non riesco a mettermi in contattato con Opree. Ho lasciato nuovamente messaggio.

Seconda chiamata al cliente, richiamo mercoledi.

24/09
Ennesima chiamata, altro messaggio lasciato. Neanche l'altro collega dell'uff. acquisti è disponibile.

26/09
Ennesimo tentativo di chiamata, senza riscontro.

30/09
Ho provato a chiamare anche Herr Käsmacher al momento nessuna risposta.",104,DR. BABOR GMBH & CO. KG,Bastian Käsmacher/Annika Opree,Alessandra,Azione Commerciale
2025-09-30,"22/09

Parlato direttamente con Kloubert, sembra interessato ai ns prodotti, alle novità, mi sono resa disponibile ad incontrarlo di persona in caso di sua disponibilità. Mi ha chiesto email con catalogo e company presentation.

25/09
Sentito anche oggi in seguito alle foto inviate, è molto interessato alle collezioni:  
•	Kappa
•	Giada
•	Boston
•	Flore
  
250ML, mi deve far sapere i quantitativi e procedo con offerta.

30/09
Altra chiamata con il cliente chiedendomi di aggiungere all'offerta gli accessori: disp. Manila, Flow, Flip top Miami, disp. Griffe, Plaisir, ",2103,INSPIRA COSMETICS GMBH,VOLKER KLOUBERT ,Alessandra,Azione Commerciale
2025-09-30,"29/09

Primo contatto telefonico, con breve introduzione azienda e descrizione generica dei prodotti. Richiamo domani per parlare con persona di riferimento dell'uff. acquisti.

30/09
Parlato con ufficio acquisti, al momento non hanno progetti in corso, mi hanno cmq chiesto invio catalogo e presentazione società.",4417,LA FAME COSMETICS,,Alessandra,Azione Commerciale
2025-09-30,"30/09
Chiamata al cliente con il quale non avevamo più contatti dal 2018, breve introduzione prodotti VN, ho parlato con uff. acquisti, al momento non hanno progetti in corso da condividere, nel caso ci ricontattano.",4551,SWISS MOUNTAIN COSMETICS,,Alessandra,Azione Commerciale
2025-09-30,"30/09
Tentivo di chiamata al cliente con il quale non eravamo pià in contatto da diversi anni, referenti ufficio acquisti non reperibili oggi, richiedono invio mail del catalogo, per poi richiamrli più avanti.",4333,PHARCONA GMBH,,Alessandra,Azione Commerciale
2025-09-30,"30/09
Chiamata con ufficio commerciale, non mi hanno subito messo in contatto con uff. acquisti, prima preferiscono vedere il catalogo e poi nel caso mi ricontattano. Mandata mail. ",4361,PACKSYS GMBH,,Alessandra,Azione Commerciale
2025-09-30,"30/09
Clienet con il quake non eravamo più in contatto da qualche anno, ho parlato direttamente con Sevgi Gueler.
Mi ha detto di far rifermento al loro website https://www.ipacosmetics.de/link-en.html, sulla abse di questo di farle delle proposte di articoli. Nel mentre mi ha chiesto cmq il catalogo, ho inviato mail e domani provo a proporle delle colelzioni in linea con i loro prodotti.",4641,I.P.A. COSMETICS GMBH,SEVGI  GUELER,Alessandra,Azione Commerciale
2025-09-30,"30/09
Contatto cliente, per ora contatto con centralino, persona ufficio acquisti non reperibile oggi, hanno richeisto per il momento invio catalogo + presentazione società.",4656,HEADS HAIRCARE GMBH,,Alessandra,Azione Commerciale
2025-10-01,Chiamato ma nessuna risposta. Mandata email di presentazione con catalogo,8310,RAYPATH INTERNATIONAL,Mr. Andreas,Rachida,Contatto Cliente
2025-10-01,Parlato con il cliente e chiesto di mandare catalogo via email.,8312,PROFIL ,Mr. Pawel,Rachida,Contatto Cliente
2025-10-01,Parlato con la cliente ed inviato email con catalogo.,8599,CENTRUM KOSMETYKOW DR. PIOTR. KOZIEJ SP.ZO.O SP.K,Mrs. Justyna,Rachida,Contatto Cliente
2025-10-01,Chiamata ma senza successo. Inviata email con catalogo,8607,PASSAGE COSMETICS LABORATORY ,Mrs. Joanna,Rachida,Contatto Cliente
2025-10-01,Chiamata ma senza risposta. Inviata email con catalogo,8636,BEAUTY CONCEPT,Mrs. Klaudia,Rachida,Contatto Cliente
2025-10-01,Chiamato diverse volte ma senza successo. Inviata un'email di presentazione con catalogo.,8646,BELL,Mrs. Agata,Rachida,Contatto Cliente
2025-10-01,"27/08

Offerta rtichiesta per Spray New Crrtistal DR410.0206 con tasto rosa +cover new criustal pp rosa, la richiesta iniziale è di 10K pezzi, Bettina mi ha confermato che non è fattibile con solo 10K, quindi ho provato a richamrla per offrirle due opzioni in alternativa. Domani modifico di conseguenza l'offerta.

02/09
Per l'offerta in corso mi ha mandato email, l'ho richiamata per chiarimenti, attendo riscontro a breve,

01/10
Offerta modificata secondo loro richiesta quindi 10K spray + 25K pink actuators. Ci hanno inviato ordine ma noto delle discrepanze rispetto alla ns offerta, quindi ci siamo sentiti ed ho imviato email, attendo loro chiarimenti.",14147,DR. KLEINE PHARMA GMBH -EX LAB (00012616),"Jahnke, Amelie",Alessandra,Contatto Cliente
2025-10-01,"27/08

Offerta rtichiesta per Spray New Crrtistal DR410.0206 con tasto rosa +cover new criustal pp rosa, la richiesta iniziale è di 10K pezzi, Bettina mi ha confermato che non è fattibile con solo 10K, quindi ho provato a richamrla per offrirle due opzioni in alternativa. Domani modifico di conseguenza l'offerta.

02/09
Per l'offerta in corso mi ha mandato email, l'ho richiamata per chiarimenti, attendo riscontro a breve,

01/10
Offerta modificata secondo loro richiesta quindi 10K spray + 25K pink actuators. Ci hanno inviato ordine ma noto delle discrepanze rispetto alla ns offerta, quindi ci siamo sentiti ed ho imviato email, attendo loro chiarimenti.

Secondo contatto con la cliente, sempre per approfondire la ns offerta rispetto al loro ordine.",14147,DR. KLEINE PHARMA GMBH -EX LAB (00012616),"Jahnke, Amelie",Alessandra,Contatto Cliente
2025-10-01,"01/10
Cliente contattato, dall'ufficio acquisti mi hanno spiegato che loro sono prevalentemente una serigrafia, quindi ricevono i pacs direttamente dai clienti, quindi non necessitano di forniture di packaging da altro fornitore.",13600,ERNST ROESER GMBH ,,Alessandra,Azione Commerciale
2025-10-01,"01/10
Contatto con cliente che non sentivamo da tempo, al momento non hanno progetti in corso, mi hanno cmq chiesto di inviare mail con  catalogo con presentazione società per eventuali futuri progetti. ",8049,MEDSKIN SOLUTIONS DR. SUWELACK AG,,Alessandra,Azione Commerciale
2025-10-01,"15/09
Cliente con cui non condividevamo più offete dal 2019, parlato con uff. acquisti, aggiornata anagrafica, mando email con catalogo.

16/09
Cliente ha risposto al mio contatto, ho provato a contattarli nuovamente ma oggi non sono reperibili. Ho chiesto incontro per ottobre.

19/09
Ennesimo tentativo di chiamata oggi, ho nuovamente lasciato messagio in segreteria per prendere appuntamento per andare da loro.

22/09
Riprovato anche oggi, però non riesco a mettermi in contattato con Opree. Ho lasciato nuovamente messaggio.

Seconda chiamata al cliente, richiamo mercoledi.

24/09
Ennesima chiamata, altro messaggio lasciato. Neanche l'altro collega dell'uff. acquisti è disponibile.

26/09
Ennesimo tentativo di chiamata, senza riscontro.

30/09
Ho provato a chiamare anche Herr Käsmacher al momento nessuna risposta.

01/10
Altro tentativo senza risposta, rimando email almeno per sapere se è possibile andare a trovarli.",104,DR. BABOR GMBH & CO. KG,Bastian Käsmacher/Annika Opree,Alessandra,Azione Commerciale
2025-10-01,"01/10

Cliente contattato, parlato con ufficio acquisti, i nostri riferimentii sono ancora validi, come da loro richiesta ho inviato il catalogo e la presentazione della società.",8211,DREIZ COSMETICS GMBH & CO. KG,SCHAAL-TIETZ,Alessandra,Azione Commerciale
2025-10-01,"01/10
Cliente che ha la propria linea di skin care e make-up, full service, potenzialmente ineterssati ai ns prodotti, contatto ufficio acquisti modificato perchè il precedente non era più valido. Inviata mail con catalogo come da loro richiesta.",8189,MADISON COSMETICS GMBH,Nerjesa Almhazam,Alessandra,Azione Commerciale
2025-10-01,"01/10

Tentativo di contatto con il cliente, ultima offerta nel 2018, azienda full service, oggi ufficio acquisti non presnete, doamni richiamo.",5461,ELKADERM GMBH,,Alessandra,Azione Commerciale
2025-10-01,"presentata azienda
invio catalogo",15340,BALLANGI S.R.L.,,Rachele,Azione Commerciale
